County,State,FIPS,Annual Incidence Rate,Lower CI,Upper CI,Average Cases per Year,Rate Period,Interval Range
United States (1),US,00000,123.0,122.8,123.2,"220,205 §",2008 - 2012,N/A
Williamsburg City (6),VA,51830,364.1,295.6,444.2,"23",2008 - 2012,130.8 - 364.1
Judith Basin County (6),MT,30045,281.3,151.4,482.0,"3",2008 - 2012,130.8 - 364.1
Charlottesville City (6),VA,51540,233.6,203.3,267.2,"44",2008 - 2012,130.8 - 364.1
Torrance County (7),NM,35057,217.1,175.3,266.3,"21",2008 - 2012,130.8 - 364.1
Gilliam County (6),OR,41021,216.4,116.6,383.3,"3",2008 - 2012,130.8 - 364.1
Sharkey County (6),MS,28125,205.4,136.3,297.3,"6",2008 - 2012,130.8 - 364.1
Nantucket County (6),MA,25019,189.6,141.8,248.9,"11",2008 - 2012,130.8 - 364.1
Bottineau County (6),ND,38009,183.8,127.5,259.0,"8",2008 - 2012,130.8 - 364.1
Bowman County (6),ND,38011,182.3,104.1,300.0,"4",2008 - 2012,130.8 - 364.1
Griggs County (6),ND,38039,176.9,93.5,317.9,"3",2008 - 2012,130.8 - 364.1
Glascock County (7),GA,13125,174.1,101.7,282.1,"4",2008 - 2012,130.8 - 364.1
Major County (6),OK,40093,173.2,124.9,235.4,"9",2008 - 2012,130.8 - 364.1
Carter County (6),MO,29035,172.5,116.6,246.6,"7",2008 - 2012,130.8 - 364.1
Salem City (6),VA,51775,172.0,144.0,204.3,"29",2008 - 2012,130.8 - 364.1
Stanley County (6),SD,46117,171.3,94.9,289.1,"3",2008 - 2012,130.8 - 364.1
Adams County (6),ND,38001,170.7,90.8,302.3,"3",2008 - 2012,130.8 - 364.1
Toole County (6),MT,30101,170.1,107.5,258.2,"5",2008 - 2012,130.8 - 364.1
Teton County (6),MT,30099,169.5,118.0,238.7,"8",2008 - 2012,130.8 - 364.1
Lexington City (6),VA,51678,168.8,109.0,253.5,"6",2008 - 2012,130.8 - 364.1
Warren County (7),GA,13301,168.7,113.5,242.7,"7",2008 - 2012,130.8 - 364.1
Petersburg City (6),VA,51730,167.8,142.7,196.2,"35",2008 - 2012,130.8 - 364.1
Harrisonburg City (6),VA,51660,167.6,140.7,198.1,"29",2008 - 2012,130.8 - 364.1
Macon County (6),TN,47111,166.9,136.1,202.7,"21",2008 - 2012,130.8 - 364.1
Prince of Wales-Outer Ketchikan Census Area (6),AK,02201,166.0,93.0,271.9,"4",2008 - 2012,130.8 - 364.1
Covington City (6),VA,51580,165.5,113.4,235.5,"7",2008 - 2012,130.8 - 364.1
Hamilton County (6),NY,36041,164.9,110.5,243.9,"7",2008 - 2012,130.8 - 364.1
Pamlico County (6),NC,37137,164.6,126.8,211.3,"16",2008 - 2012,130.8 - 364.1
Furnas County (6),NE,31065,163.8,104.6,247.7,"6",2008 - 2012,130.8 - 364.1
Lyman County (6),SD,46085,163.5,92.5,268.6,"3",2008 - 2012,130.8 - 364.1
Dukes County (6),MA,25007,163.1,130.5,202.3,"19",2008 - 2012,130.8 - 364.1
East Feliciana Parish (7),LA,22037,162.4,129.3,201.7,"18",2008 - 2012,130.8 - 364.1
Terrell County (7),GA,13273,161.9,117.6,218.0,"10",2008 - 2012,130.8 - 364.1
Union County (6),FL,12125,161.6,117.6,216.7,"9",2008 - 2012,130.8 - 364.1
Kingsbury County (6),SD,46077,160.9,105.2,239.2,"6",2008 - 2012,130.8 - 364.1
Martinsville City (6),VA,51690,160.4,125.3,202.7,"16",2008 - 2012,130.8 - 364.1
Garfield County (7),UT,49017,160.0,102.1,240.9,"5",2008 - 2012,130.8 - 364.1
Hughes County (6),SD,46065,159.1,126.0,198.7,"17",2008 - 2012,130.8 - 364.1
Perry County (6),AL,01105,159.0,117.2,211.1,"11",2008 - 2012,130.8 - 364.1
Day County (6),SD,46037,158.4,105.0,232.5,"7",2008 - 2012,130.8 - 364.1
Buena Vista City (6),VA,51530,158.4,109.2,223.4,"7",2008 - 2012,130.8 - 364.1
Amador County (7),CA,06005,158.2,136.6,182.9,"44",2008 - 2012,130.8 - 364.1
Floyd County (7),IA,19067,158.2,125.4,197.6,"18",2008 - 2012,130.8 - 364.1
Holmes County (6),MS,28051,157.9,125.2,196.4,"17",2008 - 2012,130.8 - 364.1
Hunterdon County (7),NJ,34019,157.9,145.4,171.3,"127",2008 - 2012,130.8 - 364.1
Waynesboro City (6),VA,51820,157.5,128.5,191.3,"22",2008 - 2012,130.8 - 364.1
Barnstable County (6),MA,25001,157.4,148.7,166.4,"299",2008 - 2012,130.8 - 364.1
Grundy County (6),MO,29079,157.3,116.3,208.8,"11",2008 - 2012,130.8 - 364.1
McCormick County (6),SC,45065,157.3,114.3,213.6,"12",2008 - 2012,130.8 - 364.1
Swain County (6),NC,37173,156.5,122.0,198.5,"15",2008 - 2012,130.8 - 364.1
Franklin City (6),VA,51620,156.2,112.6,211.9,"9",2008 - 2012,130.8 - 364.1
Ida County (7),IA,19093,155.7,105.2,223.1,"8",2008 - 2012,130.8 - 364.1
Knox County (6),OH,39083,155.7,137.7,175.5,"57",2008 - 2012,130.8 - 364.1
Clay County (6),TN,47027,155.5,108.4,217.2,"8",2008 - 2012,130.8 - 364.1
Catron County (7),NM,35003,155.1,84.7,269.3,"5",2008 - 2012,130.8 - 364.1
Piatt County (6),IL,17147,155.0,123.0,193.4,"17",2008 - 2012,130.8 - 364.1
Fredericksburg City (6),VA,51630,154.9,124.3,190.7,"18",2008 - 2012,130.8 - 364.1
