County,State,FIPS,Annual Death Rate,Lower CI,Upper CI,Average Deaths per Year,Rate Period,Interval Range
United States,US,00000,21.9,21.8,22.0,"40,868",2008 - 2012,N/A
Franklin City,VA,51620,58.9,33.8,96.3,"4",2008 - 2012,26.3 - 58.9
Holmes County,MS,28051,52.7,34.5,77.0,"6",2008 - 2012,26.3 - 58.9
Coahoma County,MS,28027,49.9,34.9,69.2,"7",2008 - 2012,26.3 - 58.9
Wilkes County,GA,13317,46.1,25.8,77.2,"4",2008 - 2012,26.3 - 58.9
Columbia County,AR,05027,44.4,30.4,62.9,"7",2008 - 2012,26.3 - 58.9
Clay County,KY,21051,44.0,28.8,64.8,"5",2008 - 2012,26.3 - 58.9
St. John the Baptist Parish,LA,22095,44.0,32.4,58.5,"10",2008 - 2012,26.3 - 58.9
Mississippi County,MO,29133,43.7,25.4,70.6,"4",2008 - 2012,26.3 - 58.9
Hart County,KY,21099,43.3,28.4,63.9,"5",2008 - 2012,26.3 - 58.9
Crockett County,TN,47033,41.7,24.6,66.6,"4",2008 - 2012,26.3 - 58.9
Eastland County,TX,48133,40.7,25.3,62.3,"5",2008 - 2012,26.3 - 58.9
Ashland County,WI,55003,40.3,24.4,63.3,"4",2008 - 2012,26.3 - 58.9
East Feliciana Parish,LA,22037,40.0,24.7,61.7,"4",2008 - 2012,26.3 - 58.9
Little River County,AR,05081,39.6,22.9,64.8,"4",2008 - 2012,26.3 - 58.9
Montgomery County,MS,28097,39.5,22.3,66.3,"3",2008 - 2012,26.3 - 58.9
Madison County,ID,16065,39.1,23.0,61.5,"4",2008 - 2012,26.3 - 58.9
Yazoo County,MS,28163,38.9,25.9,56.3,"6",2008 - 2012,26.3 - 58.9
Grimes County,TX,48185,38.8,25.7,56.6,"6",2008 - 2012,26.3 - 58.9
Bristol City,VA,51520,38.8,25.4,57.8,"6",2008 - 2012,26.3 - 58.9
Allen County,KS,20001,38.4,22.0,63.2,"3",2008 - 2012,26.3 - 58.9
Chester County,SC,45023,38.4,27.6,52.5,"9",2008 - 2012,26.3 - 58.9
Ben Hill County,GA,13017,38.3,23.5,59.4,"4",2008 - 2012,26.3 - 58.9
Southampton County,VA,51175,38.3,23.7,59.4,"4",2008 - 2012,26.3 - 58.9
Freestone County,TX,48161,37.9,22.9,59.2,"4",2008 - 2012,26.3 - 58.9
Pettis County,MO,29159,37.8,27.5,50.8,"9",2008 - 2012,26.3 - 58.9
Butts County,GA,13035,37.6,24.6,55.6,"5",2008 - 2012,26.3 - 58.9
Washington County,MS,28151,37.6,28.3,49.0,"11",2008 - 2012,26.3 - 58.9
Murray County,GA,13213,37.4,26.0,52.0,"7",2008 - 2012,26.3 - 58.9
La Salle Parish,LA,22059,37.3,22.4,59.6,"4",2008 - 2012,26.3 - 58.9
Callahan County,TX,48059,37.1,22.2,59.7,"4",2008 - 2012,26.3 - 58.9
Sawyer County,WI,55113,36.9,22.8,57.8,"5",2008 - 2012,26.3 - 58.9
Campbell County,WY,56005,36.8,23.5,54.3,"6",2008 - 2012,26.3 - 58.9
Wayne County,MO,29223,36.7,20.5,61.6,"3",2008 - 2012,26.3 - 58.9
Hale County,AL,01065,36.5,21.1,59.1,"4",2008 - 2012,26.3 - 58.9
Cherokee County,NC,37039,36.5,25.4,51.7,"8",2008 - 2012,26.3 - 58.9
Washington County,AL,01129,36.4,21.9,57.4,"4",2008 - 2012,26.3 - 58.9
Adams County,MS,28001,36.4,25.8,50.5,"8",2008 - 2012,26.3 - 58.9
Grundy County,TN,47061,36.4,21.3,59.4,"4",2008 - 2012,26.3 - 58.9
Buckingham County,VA,51029,36.3,21.0,59.1,"4",2008 - 2012,26.3 - 58.9
Taylor County,FL,12123,36.2,23.4,54.3,"5",2008 - 2012,26.3 - 58.9
Mercer County,KY,21167,36.2,22.8,55.0,"5",2008 - 2012,26.3 - 58.9
Williamsburg County,SC,45089,36.2,25.3,50.5,"8",2008 - 2012,26.3 - 58.9
Acadia Parish,LA,22001,36.1,27.7,46.2,"13",2008 - 2012,26.3 - 58.9
Concordia Parish,LA,22029,35.9,22.8,54.4,"5",2008 - 2012,26.3 - 58.9
Cass County,IA,19029,35.8,21.9,57.3,"4",2008 - 2012,26.3 - 58.9
Polk County,GA,13233,35.7,25.7,48.4,"9",2008 - 2012,26.3 - 58.9
Madison County,MS,28089,35.7,28.7,43.8,"19",2008 - 2012,26.3 - 58.9
Sanpete County,UT,49039,35.4,21.7,54.4,"4",2008 - 2012,26.3 - 58.9
Assumption Parish,LA,22007,35.3,22.9,52.4,"5",2008 - 2012,26.3 - 58.9
Lincoln County,MS,28085,35.3,25.4,48.2,"8",2008 - 2012,26.3 - 58.9
Rush County,IN,18139,35.2,20.9,56.0,"4",2008 - 2012,26.3 - 58.9
Lincoln Parish,LA,22061,35.1,25.0,48.0,"8",2008 - 2012,26.3 - 58.9
Grenada County,MS,28043,34.8,22.5,51.9,"5",2008 - 2012,26.3 - 58.9
Calhoun County,SC,45017,34.7,19.3,58.0,"3",2008 - 2012,26.3 - 58.9
Burnett County,WI,55013,34.6,19.9,57.4,"4",2008 - 2012,26.3 - 58.9
Auglaize County,OH,39011,34.5,25.4,46.1,"10",2008 - 2012,26.3 - 58.9
